locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEAHBEAM_02861	CDS	1356	gatC_1		COG3775	PTS system galactitol-specific EIIC component
OEAHBEAM_02862	CDS	285	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
OEAHBEAM_02863	CDS	453	gatA		COG1762	PTS system galactitol-specific EIIA component
OEAHBEAM_02864	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
OEAHBEAM_02865	CDS	855	gatY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
OEAHBEAM_02866	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
OEAHBEAM_02867	CDS	1278	yegT			Putative nucleoside transporter YegT
OEAHBEAM_02868	CDS	1005	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
OEAHBEAM_02869	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
OEAHBEAM_02870	CDS	747	nagR		COG2188	HTH-type transcriptional repressor NagR
OEAHBEAM_02871	CDS	819				hypothetical protein
OEAHBEAM_02872	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
OEAHBEAM_02873	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
OEAHBEAM_02874	CDS	240				hypothetical protein
OEAHBEAM_02875	CDS	348				hypothetical protein
OEAHBEAM_02876	CDS	315				hypothetical protein
OEAHBEAM_02877	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
OEAHBEAM_02878	CDS	840	rcnA		COG2215	Nickel/cobalt efflux system RcnA
OEAHBEAM_02879	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
OEAHBEAM_02880	CDS	1035				hypothetical protein
OEAHBEAM_02881	CDS	2481	yehB_2		COG3188	Outer membrane usher protein YehB
OEAHBEAM_02882	CDS	675	yehC_2		COG3121	putative fimbrial chaperone YehC
OEAHBEAM_02883	CDS	543	yehD_2			putative fimbrial-like protein YehD
OEAHBEAM_02884	CDS	282				hypothetical protein
OEAHBEAM_02885	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
OEAHBEAM_02886	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
OEAHBEAM_02887	CDS	729	yehF			Protein YehF
OEAHBEAM_02888	CDS	2892				hypothetical protein
OEAHBEAM_02889	CDS	1281				hypothetical protein
OEAHBEAM_02890	CDS	819				hypothetical protein
OEAHBEAM_02891	CDS	960				hypothetical protein
OEAHBEAM_02892	CDS	3633				hypothetical protein
OEAHBEAM_02893	CDS	318				hypothetical protein
OEAHBEAM_02894	CDS	90				hypothetical protein
OEAHBEAM_02895	CDS	1089	yehL		COG0714	putative protein YehL
OEAHBEAM_02896	CDS	2280				hypothetical protein
OEAHBEAM_02897	CDS	1137				hypothetical protein
OEAHBEAM_02898	CDS	1845				hypothetical protein
OEAHBEAM_02899	CDS	888				IS3 family transposase IS1203
OEAHBEAM_02900	CDS	327				IS3 family transposase ISEc25
OEAHBEAM_02901	CDS	462	yehR		COG4808	putative lipoprotein YehR
OEAHBEAM_02902	CDS	471				hypothetical protein
OEAHBEAM_02903	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
OEAHBEAM_02904	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
OEAHBEAM_02905	CDS	249	dinI_2			DNA damage-inducible protein I
OEAHBEAM_02906	CDS	270				hypothetical protein
OEAHBEAM_02907	CDS	1314				hypothetical protein
OEAHBEAM_02908	CDS	600	ompX_10		COG3637	Outer membrane protein X
OEAHBEAM_02909	CDS	2346				hypothetical protein
OEAHBEAM_02910	CDS	1176				hypothetical protein
OEAHBEAM_02911	CDS	579				hypothetical protein
OEAHBEAM_02912	CDS	744				hypothetical protein
OEAHBEAM_02913	CDS	699				hypothetical protein
OEAHBEAM_02914	CDS	330				hypothetical protein
OEAHBEAM_02915	CDS	2646				hypothetical protein
OEAHBEAM_02916	CDS	309				hypothetical protein
OEAHBEAM_02917	CDS	423				hypothetical protein
OEAHBEAM_02918	CDS	753				hypothetical protein
OEAHBEAM_02919	CDS	399				hypothetical protein
OEAHBEAM_02920	CDS	624				hypothetical protein
OEAHBEAM_02921	CDS	282				hypothetical protein
OEAHBEAM_02922	CDS	327				hypothetical protein
OEAHBEAM_02923	CDS	1041				hypothetical protein
OEAHBEAM_02924	CDS	327				IS3 family transposase ISEc25
OEAHBEAM_02925	CDS	888				IS3 family transposase IS1203
OEAHBEAM_02926	CDS	960	clpP_3	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
OEAHBEAM_02927	CDS	1503				hypothetical protein
OEAHBEAM_02928	CDS	213				hypothetical protein
OEAHBEAM_02929	CDS	2124				hypothetical protein
OEAHBEAM_02930	CDS	477				hypothetical protein
OEAHBEAM_02931	CDS	468				hypothetical protein
OEAHBEAM_02932	CDS	147				hypothetical protein
OEAHBEAM_02933	CDS	570				hypothetical protein
OEAHBEAM_02934	CDS	534	rrrD_10	3.2.1.17	COG3772	Lysozyme RrrD
OEAHBEAM_02935	CDS	216				hypothetical protein
OEAHBEAM_02936	CDS	246				hypothetical protein
OEAHBEAM_02937	CDS	180				hypothetical protein
OEAHBEAM_02938	CDS	1947				hypothetical protein
OEAHBEAM_02939	CDS	270	stxB_2			Shiga toxin subunit B
OEAHBEAM_02940	CDS	948	stxA_2	3.2.2.22		Shiga toxin subunit A
OEAHBEAM_02941	CDS	483				hypothetical protein
OEAHBEAM_02942	CDS	195				hypothetical protein
OEAHBEAM_02943	CDS	606				hypothetical protein
OEAHBEAM_02944	CDS	210				hypothetical protein
OEAHBEAM_02945	CDS	402				hypothetical protein
OEAHBEAM_02946	CDS	528				hypothetical protein
OEAHBEAM_02947	CDS	447				hypothetical protein
OEAHBEAM_02948	CDS	237				hypothetical protein
OEAHBEAM_02949	CDS	216				hypothetical protein
OEAHBEAM_02950	CDS	279				hypothetical protein
OEAHBEAM_02951	CDS	291				hypothetical protein
OEAHBEAM_02952	CDS	702				hypothetical protein
OEAHBEAM_02953	CDS	939				hypothetical protein
OEAHBEAM_02954	CDS	297				hypothetical protein
OEAHBEAM_02955	CDS	219				hypothetical protein
OEAHBEAM_02956	tRNA	83				tRNA-Ala(cgc)
OEAHBEAM_02957	CDS	282				hypothetical protein
OEAHBEAM_02958	CDS	552				hypothetical protein
OEAHBEAM_02959	CDS	273				hypothetical protein
OEAHBEAM_02960	CDS	582				hypothetical protein
OEAHBEAM_02961	CDS	369				hypothetical protein
OEAHBEAM_02962	CDS	165				hypothetical protein
OEAHBEAM_02963	CDS	144				hypothetical protein
OEAHBEAM_02964	CDS	297				hypothetical protein
OEAHBEAM_02965	CDS	786				hypothetical protein
OEAHBEAM_02966	CDS	678				hypothetical protein
OEAHBEAM_02967	CDS	183				hypothetical protein
OEAHBEAM_02968	CDS	192				hypothetical protein
OEAHBEAM_02969	CDS	216				hypothetical protein
OEAHBEAM_02970	CDS	222				hypothetical protein
OEAHBEAM_02971	CDS	948				hypothetical protein
OEAHBEAM_02972	CDS	177				hypothetical protein
OEAHBEAM_02973	CDS	357				hypothetical protein
OEAHBEAM_02974	CDS	363				hypothetical protein
OEAHBEAM_02975	CDS	243				hypothetical protein
OEAHBEAM_02976	CDS	135				hypothetical protein
OEAHBEAM_02977	CDS	255				hypothetical protein
OEAHBEAM_02978	CDS	1287	intQ_4		COG0582	Putative defective protein IntQ
OEAHBEAM_02979	CDS	648	mlrA		COG0789	HTH-type transcriptional regulator MlrA
OEAHBEAM_02980	CDS	108				hypothetical protein
OEAHBEAM_02981	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
OEAHBEAM_02982	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
OEAHBEAM_02983	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
OEAHBEAM_02984	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
OEAHBEAM_02985	CDS	2268		3.2.1.-		Beta-xylosidase
OEAHBEAM_02986	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
OEAHBEAM_02987	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
OEAHBEAM_02988	CDS	588	yohC			Inner membrane protein YohC
OEAHBEAM_02989	CDS	579	yohD		COG0586	Inner membrane protein YohD
OEAHBEAM_02990	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
OEAHBEAM_02991	CDS	1191	ttgI			Toluene efflux pump outer membrane protein TtgI
OEAHBEAM_02992	CDS	951	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
OEAHBEAM_02993	CDS	1194	mhbM	1.14.13.24	COG0654	3-hydroxybenzoate 6-hydroxylase
OEAHBEAM_02994	CDS	645	nagL	5.2.1.4		Maleylpyruvate isomerase
OEAHBEAM_02995	CDS	702	nagK_2	3.7.1.20		Fumarylpyruvate hydrolase
OEAHBEAM_02996	CDS	1029	nagI	1.13.11.4		Gentisate 1,2-dioxygenase
OEAHBEAM_02997	CDS	1359	mhbT			3-hydroxybenzoate transporter MhbT
OEAHBEAM_02998	CDS	909	gbpR			HTH-type transcriptional regulator GbpR
OEAHBEAM_02999	CDS	399				hypothetical protein
OEAHBEAM_03000	CDS	696	yohK		COG1346	Inner membrane protein YohK
OEAHBEAM_03001	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
OEAHBEAM_03002	CDS	720				hypothetical protein
OEAHBEAM_03003	CDS	240				hypothetical protein
OEAHBEAM_03004	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
OEAHBEAM_03005	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
OEAHBEAM_03006	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
OEAHBEAM_03007	CDS	1521	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
OEAHBEAM_03008	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
OEAHBEAM_03009	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
OEAHBEAM_03010	CDS	1158				hypothetical protein
OEAHBEAM_03011	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
OEAHBEAM_03012	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
OEAHBEAM_03013	CDS	1980	cirA_3		COG4771	Colicin I receptor
OEAHBEAM_03014	CDS	1470	lysP		COG0833	Lysine-specific permease
OEAHBEAM_03015	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
OEAHBEAM_03016	CDS	1050				hypothetical protein
OEAHBEAM_03017	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
OEAHBEAM_03018	CDS	1089	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
OEAHBEAM_03019	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
OEAHBEAM_03020	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
OEAHBEAM_03021	CDS	699	yeiL		COG0664	Regulatory protein YeiL
OEAHBEAM_03022	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
OEAHBEAM_03023	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
OEAHBEAM_03024	CDS	942	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
OEAHBEAM_03025	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
OEAHBEAM_03026	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
OEAHBEAM_03027	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
OEAHBEAM_03028	CDS	1182	setB			Sugar efflux transporter B
OEAHBEAM_03029	CDS	255				hypothetical protein
OEAHBEAM_03030	CDS	573	yeiP		COG0231	Elongation factor P-like protein
OEAHBEAM_03031	CDS	1467	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
OEAHBEAM_03032	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
OEAHBEAM_03033	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
OEAHBEAM_03034	CDS	567	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
OEAHBEAM_03035	CDS	1557	pdeN_2	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
OEAHBEAM_03036	CDS	1815				hypothetical protein
OEAHBEAM_03037	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
OEAHBEAM_03038	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
OEAHBEAM_03039	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
OEAHBEAM_03040	CDS	345	yejG			putative protein YejG
OEAHBEAM_03041	CDS	1191	bcr_2			Bicyclomycin resistance protein
OEAHBEAM_03042	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
OEAHBEAM_03043	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
OEAHBEAM_03044	CDS	285	rplY		COG1825	50S ribosomal protein L25
OEAHBEAM_03045	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
OEAHBEAM_03046	CDS	228				hypothetical protein
OEAHBEAM_03047	CDS	1761	yejM		COG3083	Inner membrane protein YejM
OEAHBEAM_03048	tRNA	77				tRNA-Pro(ggg)
OEAHBEAM_03049	CDS	2592				putative autotransporter
OEAHBEAM_03050	CDS	648	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
OEAHBEAM_03051	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
OEAHBEAM_03052	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
OEAHBEAM_03053	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
OEAHBEAM_03054	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
OEAHBEAM_03055	CDS	210	ccmD		COG3114	Heme exporter protein D
OEAHBEAM_03056	CDS	738	ccmC		COG0755	Heme exporter protein C
OEAHBEAM_03057	CDS	663	ccmB		COG2386	Heme exporter protein B
OEAHBEAM_03058	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
OEAHBEAM_03059	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
OEAHBEAM_03060	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
OEAHBEAM_03061	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
OEAHBEAM_03062	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
OEAHBEAM_03063	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
OEAHBEAM_03064	CDS	264	napD		COG3062	Chaperone NapD
OEAHBEAM_03065	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
OEAHBEAM_03066	CDS	165				hypothetical protein
OEAHBEAM_03067	CDS	489	eco		COG4574	Ecotin
OEAHBEAM_03068	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
OEAHBEAM_03069	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
OEAHBEAM_03070	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
OEAHBEAM_03071	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
OEAHBEAM_03072	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
OEAHBEAM_03073	CDS	1092	ompC_2		COG3203	Outer membrane porin C
OEAHBEAM_03074	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
OEAHBEAM_03075	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
OEAHBEAM_03076	CDS	2850	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
OEAHBEAM_03077	CDS	777				hypothetical protein
OEAHBEAM_03078	CDS	1650				hypothetical protein
OEAHBEAM_03079	CDS	486				hypothetical protein
OEAHBEAM_03080	CDS	3894				hypothetical protein
OEAHBEAM_03081	CDS	624				hypothetical protein
OEAHBEAM_03082	CDS	1689				hypothetical protein
OEAHBEAM_03083	CDS	2628	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
OEAHBEAM_03084	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
OEAHBEAM_03085	CDS	3753	yfaL		COG3468	putative autotransporter YfaL
OEAHBEAM_03086	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
OEAHBEAM_03087	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
OEAHBEAM_03088	CDS	255				hypothetical protein
OEAHBEAM_03089	CDS	651	inaA			Protein InaA
OEAHBEAM_03090	CDS	1191	cntE			Staphylopine export protein
OEAHBEAM_03091	CDS	879	gltC_2			HTH-type transcriptional regulator GltC
OEAHBEAM_03092	CDS	132				hypothetical protein
OEAHBEAM_03093	CDS	1071				hypothetical protein
OEAHBEAM_03094	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
OEAHBEAM_03095	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
OEAHBEAM_03096	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
OEAHBEAM_03097	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
OEAHBEAM_03098	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
OEAHBEAM_03099	CDS	915				ISNCY family transposase ISSen7
OEAHBEAM_03100	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
OEAHBEAM_03101	CDS	753	rhmT_1			Inner membrane transport protein RhmT
OEAHBEAM_03102	CDS	327				IS3 family transposase ISEc25
OEAHBEAM_03103	CDS	888				IS3 family transposase IS1203
OEAHBEAM_03104	CDS	558	rhmT_2			Inner membrane transport protein RhmT
OEAHBEAM_03105	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
OEAHBEAM_03106	CDS	783	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
OEAHBEAM_03107	CDS	1203	pncC_2	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
OEAHBEAM_03108	CDS	543				hypothetical protein
OEAHBEAM_03109	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
OEAHBEAM_03110	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
OEAHBEAM_03111	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
OEAHBEAM_03112	CDS	969	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
OEAHBEAM_03113	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
OEAHBEAM_03114	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
OEAHBEAM_03115	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
OEAHBEAM_03116	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
OEAHBEAM_03117	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
OEAHBEAM_03118	CDS	267	pmrD			Signal transduction protein PmrD
OEAHBEAM_03119	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
OEAHBEAM_03120	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
OEAHBEAM_03121	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
OEAHBEAM_03122	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
OEAHBEAM_03123	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
OEAHBEAM_03124	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
OEAHBEAM_03125	CDS	306	elaB		COG4575	Protein ElaB
OEAHBEAM_03126	CDS	462	elaA		COG2153	Protein ElaA
OEAHBEAM_03127	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
OEAHBEAM_03128	CDS	1221	elaD	3.4.22.-		Protease ElaD
OEAHBEAM_03129	CDS	504	yfbM			Protein YfbM
OEAHBEAM_03130	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
OEAHBEAM_03131	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
OEAHBEAM_03132	CDS	1842	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
OEAHBEAM_03133	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
OEAHBEAM_03134	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
OEAHBEAM_03135	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
OEAHBEAM_03136	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
OEAHBEAM_03137	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
OEAHBEAM_03138	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
OEAHBEAM_03139	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
OEAHBEAM_03140	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
OEAHBEAM_03141	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
OEAHBEAM_03142	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
OEAHBEAM_03143	CDS	165				hypothetical protein
OEAHBEAM_03144	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
OEAHBEAM_03145	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
OEAHBEAM_03146	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
OEAHBEAM_03147	CDS	1833				hypothetical protein
OEAHBEAM_03148	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
OEAHBEAM_03149	CDS	495				hypothetical protein
OEAHBEAM_03150	CDS	456				hypothetical protein
OEAHBEAM_03151	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
OEAHBEAM_03152	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
OEAHBEAM_03153	CDS	1479				hypothetical protein
OEAHBEAM_03154	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
OEAHBEAM_03155	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
OEAHBEAM_03156	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
OEAHBEAM_03157	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
OEAHBEAM_03158	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
OEAHBEAM_03159	CDS	894				Epimerase family protein
OEAHBEAM_03160	CDS	891				ISNCY family transposase ISRor2
OEAHBEAM_03161	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
OEAHBEAM_03162	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
OEAHBEAM_03163	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
OEAHBEAM_03164	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
OEAHBEAM_03165	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
OEAHBEAM_03166	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
OEAHBEAM_03167	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
OEAHBEAM_03168	CDS	489	cvpA		COG1286	Colicin V production protein
OEAHBEAM_03169	CDS	663	dedD			Cell division protein DedD
OEAHBEAM_03170	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
OEAHBEAM_03171	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
OEAHBEAM_03172	CDS	660	dedA		COG0586	Protein DedA
OEAHBEAM_03173	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
OEAHBEAM_03174	CDS	1014	usg		COG0136	USG-1 protein
OEAHBEAM_03175	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
OEAHBEAM_03176	CDS	996	flk			Flagellar regulator flk
OEAHBEAM_03177	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
OEAHBEAM_03178	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
OEAHBEAM_03179	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
OEAHBEAM_03180	CDS	279				hypothetical protein
OEAHBEAM_03181	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
OEAHBEAM_03182	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
OEAHBEAM_03183	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
OEAHBEAM_03184	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
OEAHBEAM_03185	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
OEAHBEAM_03186	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
OEAHBEAM_03187	CDS	843	yfcO			putative protein YfcO
OEAHBEAM_03188	CDS	522	yfcP			putative fimbrial-like protein YfcP
OEAHBEAM_03189	CDS	429	yfcQ			putative fimbrial-like protein YfcQ
OEAHBEAM_03190	CDS	501	yfcR			putative fimbrial-like protein YfcR
OEAHBEAM_03191	CDS	759	yfcS		COG3121	putative fimbrial chaperone YfcS
OEAHBEAM_03192	CDS	2640	papC_2		COG3188	Outer membrane usher protein PapC
OEAHBEAM_03193	CDS	564	yfcV			putative fimbrial-like protein YfcV
OEAHBEAM_03194	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
OEAHBEAM_03195	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
OEAHBEAM_03196	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
OEAHBEAM_03197	CDS	285				hypothetical protein
OEAHBEAM_03198	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
OEAHBEAM_03199	CDS	1032				hypothetical protein
OEAHBEAM_03200	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
OEAHBEAM_03201	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
